Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK,City,State
Apartments,4.0,4.0,Semi-Furnished,3688,Ready to Move,32.0,5500.0,East,3.0,88000000.0,"Hiranandani Estate, Thane, Maharashtra",4.0,Thane,Maharashtra
Apartments,2.0,2.0,Unfurnished,800,Ready to Move,3.0,908.0,South,1.0,3200000.0,"Telenga Pentha, Cuttack, Odisha",2.0,Cuttack,Odisha
Houses & Villas,,,,445,,2.0,445.0,,,2800000.0,"Chander Vihar, Delhi, Delhi",,Delhi,Delhi
Farm Houses,2.0,2.0,Furnished,1200,Ready to Move,1.0,1500.0,East,2.0,12500000.0,"Chembur, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,787,Under Construction,21.0,1023.0,East,1.0,7200000.0,"Dhanori, Pune, Maharashtra",2.0,Pune,Maharashtra
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Aishbagh, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Furnished,803,Ready to Move,7.0,1090.0,North-East,1.0,8000000.0,"Thane West, Thane, Maharashtra",2.0,Thane,Maharashtra
Apartments,2.0,2.0,Furnished,135,Ready to Move,2.0,1215.0,East,1.0,3500000.0,"Nava Vadaj, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Apartments,3.0,4.0,Semi-Furnished,1661,New Launch,17.0,2824.0,East,1.0,23000000.0,"Chandrasekharpur, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,4.0,3.0,Semi-Furnished,1350,Ready to Move,,1400.0,,,9000000.0,"Uttam Nagar, Delhi, Delhi",4.0,Delhi,Delhi
Builder Floors,2.0,2.0,Semi-Furnished,450,Ready to Move,4.0,495.0,,,2500000.0,"Mohan Garden, Delhi, Delhi",2.0,Delhi,Delhi
Houses & Villas,4.0,3.0,Furnished,2400,Ready to Move,0.0,3000.0,North-East,2.0,19500000.0,"Indira Nagar, Lucknow, Uttar Pradesh",4.0,Lucknow,Uttar Pradesh
Apartments,1.0,2.0,Furnished,500,Ready to Move,19.0,750.0,West,1.0,6500000.0,"Kolshet Road, Thane, Maharashtra",1.0,Thane,Maharashtra
Apartments,3.0,3.0,Semi-Furnished,1650,Ready to Move,10.0,2000.0,,1.0,14500000.0,"Naranpura, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Houses & Villas,2.0,1.0,Unfurnished,500,Ready to Move,1.0,500.0,East,1.0,3100000.0,"Aman Vihar, Delhi, Delhi",2.0,Delhi,Delhi
Builder Floors,2.0,2.0,Semi-Furnished,450,Ready to Move,4.0,517.0,,,2800000.0,"Tilak Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,2.0,2.0,Semi-Furnished,800,Under Construction,,1152.0,,,6500000.0,"Kalinga Nagar Ghatikia, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Houses & Villas,3.0,1.0,Furnished,580,Ready to Move,2.0,600.0,North,0.0,390000.0,"Shakurbasti, Delhi, Delhi",3.0,Delhi,Delhi
Apartments,2.0,2.0,Semi-Furnished,484,Under Construction,5.0,605.0,North-West,0.0,2541000.0,"Tangra, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Builder Floors,2.0,2.0,Semi-Furnished,580,Ready to Move,3.0,700.0,North-East,0.0,2550000.0,"Beleghata East, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Houses & Villas,3.0,3.0,Semi-Furnished,1350,Ready to Move,2.0,2250.0,North-East,1.0,15500000.0,"Indira Nagar, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Furnished,800,Ready to Move,5.0,800.0,North-East,1.0,3700000.0,"Tiwamau, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Unfurnished,680,Ready to Move,6.0,1050.0,East,0.0,5500000.0,"Ghorpadi Nigade Nagar, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,2.0,2.0,,650,Ready to Move,,663.0,,,2100000.0,"Kondhwa Khurd, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,2.0,2.0,Unfurnished,900,Under Construction,4.0,1156.0,West,1.0,7650000.0,"Patia, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Apartments,1.0,1.0,Unfurnished,350,Ready to Move,4.0,500.0,East,1.0,2200000.0,"Kasheli Village, Bhiwandi, Maharashtra",1.0,Bhiwandi,Maharashtra
Apartments,3.0,3.0,Unfurnished,0,Under Construction,22.0,1400.0,East,1.0,10000000.0,"Hadapsar,  Pune, Maharashtra",3.0,Pune,Maharashtra
Apartments,2.0,2.0,Furnished,1100,Ready to Move,6.0,1200.0,North-West,1.0,5100000.0,"Charbagh Railway Station, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Houses & Villas,4.0,4.0,Semi-Furnished,1700,Ready to Move,3.0,2600.0,East,2.0,12000000.0,"Civil Lines, Nagpur, Maharashtra",4.0,Nagpur,Maharashtra
Builder Floors,1.0,1.0,Unfurnished,400,Ready to Move,11.0,650.0,East,1.0,2300000.0,"Panvel, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Builder Floors,3.0,3.0,Furnished,1200,Ready to Move,4.0,2200.0,North,1.0,17000000.0,"Pitampura, Delhi, Delhi",3.0,Delhi,Delhi
Apartments,2.0,2.0,Semi-Furnished,990,Ready to Move,4.0,1080.0,East,1.0,6200000.0,"Paldi, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Houses & Villas,4.0,2.0,Unfurnished,1000,Ready to Move,2.0,800.0,,2.0,4500000.0,"Tulsi Nagar, Ahmedabad, Gujarat",4.0,Ahmedabad,Gujarat
Apartments,1.0,1.0,Unfurnished,390,New Launch,7.0,627.0,East,0.0,3690000.0,"Panvel, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,650,Ready to Move,5.0,920.0,East,1.0,3500000.0,"Manewada, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,2.0,2.0,Unfurnished,611,Under Construction,7.0,941.0,,,3764000.0,"Kalher, Thane, Maharashtra",2.0,Thane,Maharashtra
Houses & Villas,3.0,3.0,Semi-Furnished,1400,New Launch,2.0,1000.0,North-East,2.0,6950000.0,"Indira Nagar, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Semi-Furnished,900,Ready to Move,6.0,1010.0,South,1.0,4500000.0,"Sundarpada, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Houses & Villas,4.0,4.0,Furnished,1630,Ready to Move,2.0,2800.0,South-West,1.0,15000000.0,"Patia, Bhubaneshwar, Odisha",4.0,Bhubaneshwar,Odisha
Apartments,2.0,2.0,Semi-Furnished,612,Ready to Move,16.0,950.0,West,0.0,13500000.0,"Ghatkopar East,  Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Apartments,1.0,1.0,Semi-Furnished,398,Under Construction,23.0,528.0,South-East,3.0,10698755.0,"Andheri West, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Houses & Villas,4.0,3.0,Semi-Furnished,1600,Ready to Move,3.0,1400.0,South,1.0,5800000.0,"Indira Nagar, Lucknow, Uttar Pradesh",4.0,Lucknow,Uttar Pradesh
Apartments,2.0,1.0,Semi-Furnished,620,Ready to Move,4.0,742.0,North-East,,3500000.0,"Topsia road, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,2.0,2.0,Unfurnished,750,Ready to Move,5.0,920.0,East,1.0,3600000.0,"Manewada, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,1.0,2.0,Unfurnished,400,Ready to Move,4.0,580.0,East,0.0,5000000.0,"Nerul, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Builder Floors,2.0,2.0,Semi-Furnished,450,Ready to Move,4.0,500.0,,,5500000.0,"Uttam Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,3.0,2.0,Furnished,1170,Ready to Move,8.0,1350.0,East,1.0,8000000.0,"Naranpura, Ahmedabad, Gujarat",3.0,Ahmedabad,Gujarat
Apartments,3.0,3.0,Unfurnished,1200,Under Construction,12.0,1910.0,West,1.0,17300000.0,"Ulwe, Navi Mumbai, Maharashtra",3.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,743,Ready to Move,9.0,1000.0,East,1.0,10500000.0,"Kalyani Nagar, Pune, Maharashtra",2.0,Pune,Maharashtra
Houses & Villas,2.0,2.0,Furnished,582,New Launch,1.0,682.0,North,1.0,2900000.0,"Sijua Patrapada, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Apartments,3.0,3.0,Unfurnished,918,Under Construction,4.0,1375.0,East,1.0,8000000.0,"Patia, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Houses & Villas,3.0,3.0,Semi-Furnished,1400,New Launch,3.0,1000.0,North-East,2.0,6900000.0,"Indira Nagar, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Farm Houses,,,,1000,,,1000.0,,,1350000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
,,,,,,,,,,,,,,
Houses & Villas,3.0,3.0,Semi-Furnished,1000,Ready to Move,2.0,1600.0,North-East,2.0,7000000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Unfurnished,720,Ready to Move,,720.0,,0.0,3500000.0,"Tilak Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,2.0,2.0,Unfurnished,600,Ready to Move,4.0,970.0,East,3.0,4100000.0,"Besa, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,3.0,2.0,Semi-Furnished,1050,Ready to Move,4.0,1550.0,East,1.0,9145000.0,"Patia, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Houses & Villas,4.0,3.0,Furnished,1200,New Launch,1.0,1600.0,East,1.0,5850000.0,"Indira Nagar, Lucknow, Uttar Pradesh",4.0,Lucknow,Uttar Pradesh
Apartments,3.0,2.0,Unfurnished,526,Ready to Move,2.0,526.0,South-East,1.0,4600000.0,"Makkaganj, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Apartments,3.0,3.0,Unfurnished,960,Ready to Move,8.0,1280.0,East,1.0,10700000.0,"Hadapsar,  Pune, Maharashtra",3.0,Pune,Maharashtra
Apartments,3.0,3.0,Furnished,1000,Ready to Move,2.0,1050.0,West,0.0,20000000.0,"Bandra West, Mumbai, Maharashtra",3.0,Mumbai,Maharashtra
Apartments,3.0,3.0,Semi-Furnished,1000,Ready to Move,25.0,1400.0,West,1.0,14000000.0,"Manpada, Thane, Maharashtra",3.0,Thane,Maharashtra
Houses & Villas,4.0,3.0,Semi-Furnished,1400,New Launch,2.0,1600.0,North-West,3.0,17000000.0,"Patel Nagar, Nagpur, Maharashtra",4.0,Nagpur,Maharashtra
Apartments,2.0,1.0,Semi-Furnished,500,Ready to Move,4.0,500.0,North-East,0.0,1600000.0,"Akbari Gate, Lucknow, Uttar Pradesh",2.0,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Semi-Furnished,652,Ready to Move,5.0,880.0,West,1.0,13000000.0,"Netaji Nagar, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Builder Floors,2.0,2.0,Unfurnished,15,Ready to Move,3.0,25.0,East,0.0,1100000.0,"Pratap Vihar, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,3.0,3.0,Furnished,1685,Ready to Move,,1685.0,,1.0,28000000.0,"Magarpatta City, Pune, Maharashtra",3.0,Pune,Maharashtra
Apartments,1.0,1.0,Unfurnished,550,Under Construction,3.0,600.0,West,,2500000.0,"Paikpara, Kolkata, West Bengal",1.0,Kolkata,West Bengal
Apartments,2.0,2.0,Unfurnished,850,Ready to Move,5.0,850.0,South,0.0,7000000.0,"Beleghata, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Houses & Villas,,,,1000,,,1000.0,,,1348000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Houses & Villas,4.0,3.0,Semi-Furnished,1700,Ready to Move,2.0,2000.0,East,1.0,25000000.0,"New Panvel, Navi Mumbai, Maharashtra",4.0,Navi Mumbai,Maharashtra
Builder Floors,1.0,1.0,Unfurnished,401,Ready to Move,4.0,450.0,East,0.0,1370000.0,"Uday Vihar, Delhi, Delhi",1.0,Delhi,Delhi
Builder Floors,3.0,2.0,Unfurnished,950,Under Construction,5.0,1150.0,,1.0,5000000.0,"Paikpara, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Apartments,2.0,2.0,Unfurnished,534,Under Construction,7.0,822.0,,,3288000.0,"Kalher Village, Bhiwandi, Maharashtra",2.0,Bhiwandi,Maharashtra
Houses & Villas,3.0,3.0,Semi-Furnished,1200,Ready to Move,0.0,1800.0,East,1.0,11000000.0,"Indira Nagar, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Houses & Villas,4.0,4.0,Unfurnished,2700,Ready to Move,3.0,1250.0,East,1.0,11500000.0,"Mali Pada, Bhubaneshwar, Odisha",4.0,Bhubaneshwar,Odisha
Apartments,3.0,4.0,Furnished,1300,Ready to Move,30.0,1750.0,North,3.0,45000000.0,"Andheri East, Mumbai, Maharashtra",3.0,Mumbai,Maharashtra
Apartments,4.0,4.0,Unfurnished,1600,Under Construction,22.0,2200.0,West,2.0,13000000.0,"NIBM Road Kondhwa, Pune, Maharashtra",4.0,Pune,Maharashtra
Apartments,3.0,3.0,Unfurnished,1400,Under Construction,30.0,1800.0,,,11250.0,"Entali, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Apartments,1.0,1.0,Unfurnished,566,Ready to Move,20.0,566.0,,1.0,13500000.0,"Panch Pakhadi, Thane, Maharashtra",1.0,Thane,Maharashtra
Apartments,1.0,1.0,Semi-Furnished,220,Ready to Move,4.0,128.0,East,1.0,1600000.0,"Bapu Nagar, Ahmedabad, Gujarat",1.0,Ahmedabad,Gujarat
Builder Floors,3.0,2.0,Unfurnished,1250,Ready to Move,4.0,1500.0,North-West,1.0,5250000.0,"Picnic Garden, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Houses & Villas,3.0,3.0,Semi-Furnished,1900,Under Construction,2.0,2000.0,North-East,1.0,7200000.0,"Phulnakhra, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,2.0,2.0,Unfurnished,676,New Launch,20.0,877.0,West,1.0,6000000.0,"Baner, Pune, Maharashtra",2.0,Pune,Maharashtra
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Furnished,550,Ready to Move,4.0,650.0,East,0.0,2500000.0,"Manak Pur, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Builder Floors,4.0,4.0,Semi-Furnished,3000,New Launch,4.0,3080.0,East,3.0,50000000.0,"Rajouri Garden, Delhi, Delhi",4.0,Delhi,Delhi
Apartments,2.0,2.0,Unfurnished,670,Ready to Move,4.0,880.0,East,1.0,5800000.0,"Hadapsar, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,2.0,2.0,Furnished,1040,Ready to Move,4.0,1040.0,North,1.0,7000000.0,"Kalinga Nagar Ghatikia, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Apartments,1.0,2.0,Unfurnished,390,Ready to Move,4.0,600.0,North-East,1.0,4000000.0,"Ulwe, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,650,Ready to Move,5.0,990.0,North,1.0,6300000.0,"Bishnu Vihar, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Builder Floors,2.0,2.0,Semi-Furnished,600,Ready to Move,4.0,640.0,East,1.0,2800000.0,"Uttam Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,1.0,1.0,Unfurnished,450,Under Construction,7.0,585.0,West,1.0,3600000.0,"Mumbra Bypass Rd, Thane, Maharashtra",1.0,Thane,Maharashtra
Apartments,1.0,1.0,Unfurnished,330,Ready to Move,3.0,465.0,East,1.0,1800000.0,"Kalher Village, Bhiwandi, Maharashtra",1.0,Bhiwandi,Maharashtra
Builder Floors,4.0,4.0,Semi-Furnished,1250,Ready to Move,4.0,1400.0,East,1.0,9511000.0,"Budh Vihar, Delhi, Delhi",4.0,Delhi,Delhi
Houses & Villas,4.0,3.0,Semi-Furnished,720,Ready to Move,2.0,1800.0,West,0.0,11000000.0,"Swargate, Pune, Maharashtra",4.0,Pune,Maharashtra
Apartments,3.0,2.0,Semi-Furnished,1000,Ready to Move,10.0,1200.0,North,1.0,11000000.0,"Ultadanga, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Apartments,3.0,3.0,Unfurnished,554,Under Construction,33.0,900.0,East,1.0,7200000.0,"Kamothe, Navi Mumbai, Maharashtra",3.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,720,Ready to Move,5.0,841.0,South-East,3.0,4200000.0,"Lake Town, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,3.0,2.0,Furnished,1250,Ready to Move,5.0,5000.0,North-West,1.0,6000000.0,"Kaisarbagh, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Apartments,3.0,2.0,Semi-Furnished,1050,Ready to Move,5.0,1300.0,North,1.0,7150000.0,"VIP Road, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Houses & Villas,4.0,4.0,Unfurnished,3000,Ready to Move,2.0,3000.0,,1.0,40000000.0,"Viman Nagar, Pune, Maharashtra",4.0,Pune,Maharashtra
Apartments,1.0,2.0,Furnished,441,Ready to Move,18.0,595.0,South-West,0.0,11100000.0,"Kurla East, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,700,Ready to Move,7.0,1020.0,East,0.0,6500000.0,"Karanjade, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Apartments,3.0,4.0,Unfurnished,1175,Ready to Move,,1175.0,,1.0,62500000.0,"Dadar East, Mumbai, Maharashtra",3.0,Mumbai,Maharashtra
Houses & Villas,3.0,3.0,Semi-Furnished,975,Ready to Move,2.0,1700.0,West,1.0,7800000.0,"Besa, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Builder Floors,2.0,2.0,Semi-Furnished,550,Ready to Move,4.0,580.0,East,1.0,2451000.0,"Uttam Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,1.0,1.0,Furnished,180,Ready to Move,4.0,250.0,East,0.0,8500000.0,"Parel, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Builder Floors,2.0,2.0,Semi-Furnished,900,Ready to Move,4.0,1000.0,North-East,1.0,10000000.0,"Ramesh Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Builder Floors,3.0,2.0,Semi-Furnished,900,Ready to Move,4.0,1000.0,West,1.0,3499999.0,"Matiala, Delhi, Delhi",3.0,Delhi,Delhi
Apartments,1.0,1.0,Semi-Furnished,450,Ready to Move,7.0,680.0,East,1.0,3300000.0,"Kharghar, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,3.0,2.0,Unfurnished,1043,Under Construction,4.0,1461.0,North,1.0,8450000.0,"Patrapada, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Houses & Villas,,,,706,,,1000.0,,,4900000.0,"BJB Nagar, Bhubaneshwar, Odisha",,Bhubaneshwar,Odisha
Builder Floors,2.0,2.0,Semi-Furnished,500,Ready to Move,4.0,600.0,East,1.0,2500000.0,"Dwarka Mor, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,2.0,1.0,Semi-Furnished,590,Ready to Move,5.0,700.0,North-West,,2810000.0,"Topsia, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,1.0,1.0,Unfurnished,450,Ready to Move,4.0,610.0,South,0.0,4300000.0,"Ulwe, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Furnished,750,Ready to Move,4.0,1048.0,North-East,1.0,10000000.0,"Ghorpadi, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,2.0,2.0,Unfurnished,642,Under Construction,7.0,1070.0,West,1.0,7000000.0,"Ulwe, Navi  Mumbai, Maharashtra",2.0,Navi  Mumbai,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,900,Ready to Move,4.0,1080.0,East,1.0,3000000.0,"Ghodasar, Ahmedabad, Gujarat",2.0,Ahmedabad,Gujarat
Builder Floors,3.0,2.0,Unfurnished,963,Ready to Move,4.0,963.0,West,1.0,10500000.0,"Shiv Nagar, Delhi, Delhi",3.0,Delhi,Delhi
Apartments,2.0,2.0,Semi-Furnished,589,Ready to Move,20.0,898.0,East,1.0,9600000.0,"Kolbad, Thane, Maharashtra",2.0,Thane,Maharashtra
Apartments,1.0,1.0,Semi-Furnished,642,Ready to Move,4.0,642.0,East,,2300000.0,"Bhavan Society, Ahmedabad, Gujarat",1.0,Ahmedabad,Gujarat
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Hazratganj, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Builder Floors,2.0,2.0,Unfurnished,800,Ready to Move,14.0,1323.0,East,1.0,15000000.0,"Ulwe, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,650,Ready to Move,25.0,1050.0,East,1.0,9500000.0,"Manpada, Thane, Maharashtra",2.0,Thane,Maharashtra
Builder Floors,2.0,2.0,Semi-Furnished,950,Ready to Move,11.0,1166.0,North-West,1.0,11000000.0,"Kharadi, Pune, Maharashtra",2.0,Pune,Maharashtra
Houses & Villas,1.0,2.0,Unfurnished,600,New Launch,1.0,600.0,West,0.0,3000000.0,"Wathoda, Nagpur, Maharashtra",1.0,Nagpur,Maharashtra
Apartments,4.0,4.0,Semi-Furnished,3535,Ready to Move,15.0,5050.0,East,3.0,260000.0,"Kalyani Nagar, Pune, Maharashtra",4.0,Pune,Maharashtra
Builder Floors,4.0,4.0,Semi-Furnished,921,New Launch,4.0,3200.0,North,0.0,12000000.0,"Saanta Sahi, Cuttack, Odisha",4.0,Cuttack,Odisha
Houses & Villas,,,,1000,,,1000.0,,,1299000.0,"Olpherts Lines, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,1.0,1.0,Semi-Furnished,350,Ready to Move,11.0,490.0,East,1.0,13500000.0,"Vile Parle West, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,1.0,2.0,Unfurnished,478,Under Construction,7.0,736.0,,,2944000.0,"Kapurbawdi, Thane, Maharashtra",1.0,Thane,Maharashtra
Builder Floors,2.0,2.0,Semi-Furnished,900,Ready to Move,4.0,1000.0,North-East,1.0,11000000.0,"Ramesh Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Houses & Villas,1.0,1.0,Semi-Furnished,300,Ready to Move,1.0,350.0,East,1.0,600000.0,"Hazratganj, Lucknow, Uttar Pradesh",1.0,Lucknow,Uttar Pradesh
Apartments,1.0,1.0,Semi-Furnished,280,Ready to Move,4.0,300.0,North-East,0.0,810000.0,"Beleghata, Kolkata, West Bengal",1.0,Kolkata,West Bengal
Apartments,2.0,2.0,Furnished,700,Ready to Move,6.0,884.0,North-East,0.0,4500000.0,"Bangur Avenue, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Houses & Villas,3.0,2.0,Furnished,1600,Ready to Move,1.0,1600.0,North-East,1.0,5500000.0,"Indira Nagar, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Apartments,3.0,2.0,Semi-Furnished,1050,Ready to Move,5.0,1350.0,North-East,1.0,3950000.0,"Besa, Nagpur, Maharashtra",3.0,Nagpur,Maharashtra
Apartments,1.0,1.0,Semi-Furnished,450,Ready to Move,4.0,450.0,,0.0,4800000.0,"Shahpura, Delhi, Delhi",1.0,Delhi,Delhi
Apartments,2.0,1.0,Semi-Furnished,1500,New Launch,3.0,2000.0,West,0.0,15000.0,"Daktar Colony, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,4.0,4.0,Furnished,3000,Under Construction,14.0,4400.0,West,2.0,19800000.0,"Jagatpur Village, Ahmedabad, Gujarat",4.0,Ahmedabad,Gujarat
Apartments,3.0,2.0,Unfurnished,1185,Under Construction,22.0,1540.0,East,1.0,17500000.0,"Wadgaon Sheri, Pune, Maharashtra",3.0,Pune,Maharashtra
Apartments,4.0,4.0,Semi-Furnished,5500,Ready to Move,19.0,8000.0,North-West,2.0,600000000.0,"Worli, Mumbai, Maharashtra",4.0,Mumbai,Maharashtra
Apartments,2.0,2.0,Semi-Furnished,576,Under Construction,6.0,720.0,South-East,0.0,2880000.0,"VIP Road, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Apartments,1.0,1.0,Unfurnished,450,Ready to Move,7.0,700.0,East,0.0,4200000.0,"Ulwe, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Apartments,2.0,1.0,Unfurnished,560,Ready to Move,3.0,600.0,East,1.0,2000000.0,"Friends Colony Near Borgaon, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
Apartments,3.0,3.0,Furnished,900,,7.0,1050.0,East,1.0,27500000.0,"Santacruz West, Mumbai, Maharashtra",3.0,Mumbai,Maharashtra
Apartments,2.0,2.0,Furnished,900,Ready to Move,,1000.0,East,1.0,6700000.0,"Bhawani Peth, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,2.0,2.0,Unfurnished,655,Ready to Move,4.0,780.0,East,1.0,1900000.0,"Panvel, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,740,Ready to Move,5.0,920.0,South,0.0,3600000.0,"Lingipur, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Apartments,1.0,1.0,Semi-Furnished,000,Ready to Move,7.0,0.0,East,1.0,1950000.0,"Vatva Ropda Road, Ahmedabad, Gujarat",1.0,Ahmedabad,Gujarat
Builder Floors,1.0,1.0,Semi-Furnished,300,Ready to Move,4.0,300.0,East,0.0,900000.0,"Topsia, Kolkata, West Bengal",1.0,Kolkata,West Bengal
Apartments,2.0,2.0,Unfurnished,732,Under Construction,10.0,951.0,East,1.0,9300000.0,"Wadgaon Sheri, Pune, Maharashtra",2.0,Pune,Maharashtra
Houses & Villas,3.0,2.0,Semi-Furnished,625,Ready to Move,2.0,1050.0,North,1.0,4000000.0,"Khadra, Lucknow, Uttar Pradesh",3.0,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Semi-Furnished,676,Under Construction,6.0,845.0,North-West,0.0,3380000.0,"VIP Road,  Kolkata, West Bengal",2.0,Kolkata,West Bengal
Houses & Villas,2.0,3.0,Unfurnished,1250,New Launch,,1300.0,North,0.0,5000000.0,"Jaripatka, Nagpur, Maharashtra",2.0,Nagpur,Maharashtra
