Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK,City,State
Apartments,3.0,3.0,Unfurnished,0,New Launch,14.0,1300.0,East,1.0,6500000.0,"Hadapsar, Pune, Maharashtra",3.0,Pune,Maharashtra
Houses & Villas,4.0,1.0,Semi-Furnished,1200,New Launch,1.0,1200.0,North,2.0,4800000.0,"Kolata, Krushnanandapur, Odisha",4.0,Krushnanandapur,Odisha
Apartments,2.0,2.0,Unfurnished,619,Under Construction,4.0,819.0,South-West,1.0,4700000.0,"Picnic Garden, Kolkata, West Bengal",2.0,Kolkata,West Bengal
Houses & Villas,4.0,4.0,Furnished,1400,Under Construction,,1400.0,North,3.0,5500000.0,"Endrapal, Bhubaneshwar, Odisha",4.0,Bhubaneshwar,Odisha
Houses & Villas,4.0,4.0,Unfurnished,1700,Under Construction,2.0,2100.0,West,2.0,8100000.0,"Sundarpada, Bhubaneshwar, Odisha",4.0,Bhubaneshwar,Odisha
Houses & Villas,,,,706,,,1200.0,East,,1700000.0,"BJB Nagar, Bhubaneshwar, Odisha",,Bhubaneshwar,Odisha
Builder Floors,1.0,1.0,Unfurnished,450,New Launch,4.0,752.0,East,0.0,4000000.0,"Old Panvel, Navi Mumbai, Maharashtra",1.0,Navi Mumbai,Maharashtra
Houses & Villas,3.0,3.0,Unfurnished,1140,Ready to Move,2.0,2000.0,East,1.0,11000000.0,"Pokhariput, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,1.0,1.0,Semi-Furnished,200,Ready to Move,2.0,360.0,West,1.0,4100000.0,"Chembur, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Houses & Villas,2.0,2.0,Unfurnished,1479,Ready to Move,2.0,1479.0,North-East,1.0,7000000.0,"Pune Cantonment, Pune, Maharashtra",2.0,Pune,Maharashtra
Apartments,2.0,2.0,Unfurnished,878,Under Construction,18.0,1230.0,East,1.0,9000000.0,"Narhe, Pune, Maharashtra",2.0,Pune,Maharashtra
Builder Floors,2.0,2.0,Semi-Furnished,600,Ready to Move,4.0,700.0,East,1.0,4000000.0,"Dwarka Mor, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,3.0,2.0,Unfurnished,750,Under Construction,5.0,1000.0,North-East,1.0,3800000.0,"Picnic Garden, Kolkata, West Bengal",3.0,Kolkata,West Bengal
Apartments,1.0,2.0,Semi-Furnished,486,Ready to Move,14.0,710.0,West,1.0,9500000.0,"Kurla East, Mumbai, Maharashtra",1.0,Mumbai,Maharashtra
Apartments,2.0,2.0,Unfurnished,910,Ready to Move,4.0,1188.0,South-East,1.0,4900000.0,"Hansapal, Bhubaneshwar, Odisha",2.0,Bhubaneshwar,Odisha
Houses & Villas,,,,0,,,0.0,,,1300000.0,"Hazratganj, Lucknow, Uttar Pradesh",,Lucknow,Uttar Pradesh
Apartments,2.0,2.0,Semi-Furnished,750,Ready to Move,4.0,1300.0,East,1.0,8300000.0,"Ulwe, Navi Mumbai, Maharashtra",2.0,Navi Mumbai,Maharashtra
Builder Floors,2.0,2.0,Semi-Furnished,900,Ready to Move,4.0,1000.0,North-East,1.0,12800000.0,"Ramesh Nagar, Delhi, Delhi",2.0,Delhi,Delhi
Apartments,2.0,2.0,Unfurnished,665,Ready to Move,9.0,790.0,East,1.0,3500000.0,"Bandra West, Mumbai, Maharashtra",2.0,Mumbai,Maharashtra
Apartments,3.0,2.0,Semi-Furnished,1089,Under Construction,5.0,1339.0,East,1.0,8750000.0,"Chandrasekharpur, Bhubaneshwar, Odisha",3.0,Bhubaneshwar,Odisha
Apartments,2.0,2.0,Semi-Furnished,676,Ready to Move,6.0,845.0,South,0.0,3380000.0,"VIP Road,  Kolkata, West Bengal",2.0,Kolkata,West Bengal
